"Code";"Name";"Product types";"Year";"Value";"Measurement unit";"Attribute";
0000000;"POLAND";"konserwa mięsna wieprzowa "Turystyczna" - za 300 g";"2003";2,71;"PLN";"";
0000000;"POLAND";"konserwa mięsna wieprzowa "Turystyczna" - za 300 g";"2004";2,69;"PLN";"";
0000000;"POLAND";"konserwa mięsna wieprzowa "Turystyczna" - za 300 g";"2005";2,63;"PLN";"";
0000000;"POLAND";"konserwa mięsna wieprzowa "Turystyczna" - za 300 g";"2006";2,37;"PLN";"";
0000000;"POLAND";"konserwa mięsna wieprzowa "Turystyczna" - za 300 g";"2007";2,26;"PLN";"";
0000000;"POLAND";"konserwa mięsna wieprzowa "Turystyczna" - za 300 g";"2008";2,53;"PLN";"";
0000000;"POLAND";"konserwa mięsna wieprzowa "Turystyczna" - za 300 g";"2009";2,90;"PLN";"";
0000000;"POLAND";"konserwa mięsna wieprzowa "Turystyczna" - za 300 g";"2010";2,93;"PLN";"";
0000000;"POLAND";"konserwa mięsna wieprzowa "Turystyczna" - za 300 g";"2011";2,37;"PLN";"";
0000000;"POLAND";"konserwa mięsna wieprzowa "Turystyczna" - za 300 g";"2012";2,46;"PLN";"";
0000000;"POLAND";"konserwa mięsna wieprzowa "Turystyczna" - za 300 g";"2013";2,48;"PLN";"";
0000000;"POLAND";"konserwa mięsna wieprzowa "Turystyczna" - za 300 g";"2014";2,39;"PLN";"";
0000000;"POLAND";"konserwa mięsna wieprzowa "Turystyczna" - za 300 g";"2015";2,31;"PLN";"";
0000000;"POLAND";"konserwa mięsna wieprzowa "Turystyczna" - za 300 g";"2016";2,31;"PLN";"";
0000000;"POLAND";"konserwa mięsna wieprzowa "Turystyczna" - za 300 g";"2017";2,41;"PLN";"";
0000000;"POLAND";"konserwa mięsna wieprzowa "Turystyczna" - za 300 g";"2018";2,43;"PLN";"";
0000000;"POLAND";"konserwa mięsna wieprzowa "Turystyczna" - za 300 g";"2019";2,46;"PLN";"";
0000000;"POLAND";"fresh non-dressed trout - per 1kg";"1999";;"PLN";"";
0000000;"POLAND";"fresh non-dressed trout - per 1kg";"2000";;"PLN";"";
0000000;"POLAND";"fresh non-dressed trout - per 1kg";"2001";;"PLN";"";
0000000;"POLAND";"fresh non-dressed trout - per 1kg";"2002";;"PLN";"";
0000000;"POLAND";"fresh non-dressed trout - per 1kg";"2003";;"PLN";"";
0000000;"POLAND";"fresh non-dressed trout - per 1kg";"2004";8,18;"PLN";"";
0000000;"POLAND";"fresh non-dressed trout - per 1kg";"2005";8,01;"PLN";"";
0000000;"POLAND";"fresh non-dressed trout - per 1kg";"2006";9,06;"PLN";"";
0000000;"POLAND";"fresh non-dressed trout - per 1kg";"2007";9,57;"PLN";"";
0000000;"POLAND";"fresh non-dressed trout - per 1kg";"2008";9,51;"PLN";"";
0000000;"POLAND";"fresh non-dressed trout - per 1kg";"2009";10,26;"PLN";"";
0000000;"POLAND";"fresh non-dressed trout - per 1kg";"2010";11,23;"PLN";"";
0000000;"POLAND";"fresh non-dressed trout - per 1kg";"2011";12,31;"PLN";"";
0000000;"POLAND";"fresh non-dressed trout - per 1kg";"2012";12,31;"PLN";"";
0000000;"POLAND";"fresh non-dressed trout - per 1kg";"2013";12,62;"PLN";"";
0000000;"POLAND";"fresh non-dressed trout - per 1kg";"2014";12,82;"PLN";"";
0000000;"POLAND";"fresh non-dressed trout - per 1kg";"2015";13,53;"PLN";"";
0000000;"POLAND";"fresh non-dressed trout - per 1kg";"2016";13,67;"PLN";"";
0000000;"POLAND";"fresh non-dressed trout - per 1kg";"2017";14,15;"PLN";"";
0000000;"POLAND";"fresh non-dressed trout - per 1kg";"2018";13,95;"PLN";"";
0000000;"POLAND";"fresh non-dressed trout - per 1kg";"2019";14,74;"PLN";"";
0000000;"POLAND";"karp świeży niepatroszony 1kg";"1999";7,65;"PLN";"";
0000000;"POLAND";"karp świeży niepatroszony 1kg";"2000";7,03;"PLN";"";
0000000;"POLAND";"karp świeży niepatroszony 1kg";"2001";7,24;"PLN";"";
0000000;"POLAND";"karp świeży niepatroszony 1kg";"2002";7,37;"PLN";"";
0000000;"POLAND";"karp świeży niepatroszony 1kg";"2003";7,75;"PLN";"";
0000000;"POLAND";"karp świeży niepatroszony 1kg";"2004";;"PLN";"";
0000000;"POLAND";"karp świeży niepatroszony 1kg";"2005";;"PLN";"";
0000000;"POLAND";"karp świeży niepatroszony 1kg";"2006";;"PLN";"";
0000000;"POLAND";"karp świeży niepatroszony 1kg";"2007";;"PLN";"";
0000000;"POLAND";"karp świeży niepatroszony 1kg";"2008";;"PLN";"";
0000000;"POLAND";"karp świeży niepatroszony 1kg";"2009";;"PLN";"";
